"SubID","Gender","Age","Grade","SES","TeacherID","t0Know","t0TchExp","PIS","time","Rapport","STRS"
1,2,9,4,2,5,-0.23135,2.857143,2.875,1,3.65,73
2,1,11,6,2,12,-0.003201,3.142857,7.25,1,3.8,110
3,2,10,6,2,13,0.356242,3.142857,4.125,1,3.5,108
4,1,10,5,2,8,1.751254,2.857143,2.875,1,2.85,118
5,2,11,6,2,15,-0.933597,3.571429,6.5,1,3.45,132
6,1,9,4,2,5,-0.987546,3.142857,2.875,1,3.5,123
7,2,9,4,2,3,-0.933597,3.142857,3,1,3.55,107
8,1,10,5,2,9,-0.18572,4,6.5,1,3.55,129
9,2,10,5,2,6,-0.1774,2.857143,2.625,1,3.6,92
10,1,11,6,2,12,0.652076,3.571429,7.25,1,3.35,127
11,1,9,5,2,8,1.386216,4,2.875,1,3.9,127
12,2,10,5,2,7,-0.445584,3.428571,5.75,1,3.45,120
13,2,10,5,2,8,2.298811,3.428571,2.875,1,2.5,114
14,2,8,4,2,3,-0.536843,3.571429,3,1,3.65,115
15,2,9,5,2,8,0.264982,2.714286,2.875,1,3.55,106
16,1,10,5,2,9,0.173723,3.571429,6.5,1,3.9,126
17,1,10,5,2,9,0.63002,3.428571,6.5,1,3.95,132
18,2,11,6,2,15,-0.048831,2.428571,6.5,1,2.8,133
19,,,,,,,,,1,,
20,1,9,4,2,4,-0.536843,4,8.875,1,3.95,88
21,1,11,6,2,16,-0.437264,3.857143,6,1,2.95,119
22,1,10,5,2,11,1.796884,3.285714,6.75,1,3.95,128
23,1,9,5,2,10,-0.18572,3.285714,4.375,1,3.25,
24,2,11,6,2,12,0.264982,3.142857,7.25,1,2.8,69
25,1,9,4,2,1,-0.933597,3.285714,,1,3.55,
26,1,9,4,2,1,0.356242,3.142857,,1,3.8,
27,2,9,4,2,1,-1.20178,3.714286,,1,3.75,
28,2,9,4,2,2,-0.636422,2.714286,9,1,1.85,116
29,2,10,5,2,6,-0.14009,2.857143,2.625,1,2.5,89
30,1,11,6,2,16,-0.933597,3.142857,6,1,3.35,112
31,1,11,6,2,12,0.995058,3.571429,7.25,1,3.5,132
32,2,9,4,2,2,-0.933597,2.714286,9,1,3.35,113
33,2,8,4,2,5,-0.528524,3.142857,2.875,1,2.95,71
34,1,10,5,2,6,-0.933597,3.142857,2.625,1,3.2,109
35,2,11,6,2,15,0.401872,3,6.5,1,3.25,117
36,2,10,5,2,9,0.401872,3.285714,6.5,1,3.65,126
37,1,10,5,2,11,0.981144,4,6.75,1,3.7,124
38,1,9,5,2,9,-0.18572,3.142857,6.5,1,3.8,132
39,1,11,6,2,12,-1.15615,3.571429,7.25,1,3.85,129
40,1,9,5,2,11,1.203697,3.571429,6.75,1,3.95,132
41,1,10,5,2,11,0.72128,3.285714,6.75,1,3.75,128
42,2,9,5,2,10,0.264982,3,4.375,1,2.55,106
43,1,9,4,2,1,-0.636422,3.571429,,1,3.65,
44,2,9,5,2,9,0.401872,2.857143,6.5,1,3.5,112
45,1,10,5,2,8,0.173723,3.428571,2.875,1,3.8,129
46,2,10,5,2,11,1.998912,2.285714,6.75,1,2.9,117
47,1,9,4,2,5,-0.1774,3.857143,2.875,1,3.95,85
48,1,10,5,1,9,-0.582473,3.285714,6.5,1,3.9,122
49,1,9,4,2,5,0.227672,3.714286,2.875,1,3.75,124
50,2,11,6,2,14,-0.491214,3.714286,5,1,2.8,102
51,2,10,5,1,9,-0.18572,2.714286,6.5,1,1.1,124
52,2,10,6,2,14,-0.391635,2.142857,5,1,3.75,97
53,2,9,4,2,5,-0.987546,3,2.875,1,3.75,120
54,1,10,5,2,8,-0.086141,3.857143,2.875,1,3.9,111
55,1,10,5,2,8,1.086317,3.571429,2.875,1,3.45,114
56,1,9,4,2,2,-0.482894,3.142857,9,1,3.9,124
57,1,10,5,2,6,0.173723,3.571429,2.625,1,3.9,113
58,1,10,5,2,10,0.995058,3,4.375,1,3.6,109
59,1,11,6,2,15,1.49139,3,6.5,1,3.55,124
60,1,10,5,2,10,1.021179,3.428571,4.375,1,3.75,99
61,2,11,5,2,8,0.707365,2.714286,2.875,1,3.5,124
62,,,,1,,,,,1,,
63,1,11,6,2,14,-0.300375,2.142857,5,1,2.75,119
64,1,10,5,2,9,-0.536843,3.571429,6.5,1,3.65,119
65,1,11,6,2,12,-1.338669,3,7.25,1,3.7,114
66,1,10,5,2,11,0.224947,4,6.75,1,3.95,125
67,1,11,6,2,,-0.636422,3.142857,,1,,
