ID,Name,Revenue2015,Expenses2015,Profit2015,Growth2015,Revenue2014,Expenses2014,Profit2014,Growth2014,Revenue2013,Expenses2013,Profit2013
1,Over-Hex,"$10,684,527.00","$1,130,700.00","$9,553,827.00",334%,"$2,463,739.00","$194,748.00","$2,268,991.00",410%,"$483,086.00","$43,394.00","$439,692.00"
2,Unimattax,"$9,016,543.00","$804,035.00","$8,212,507.00",65%,"$5,448,571.00","$239,227.00","$5,209,344.00",41%,"$3,864,235.00","$91,714.00","$3,772,520.00"
3,Lexila,"$12,456,642.00","$2,149,297.00","$10,307,345.00",520%,"$2,007,778.00","$335,127.00","$1,672,651.00",423%,"$383,896.00","$112,257.00","$271,639.00"
4,Greenfax,"$7,746,272.00","$1,044,375.00","$6,701,897.00",317%,"$1,857,830.00","$247,049.00","$1,610,781.00",56%,"$1,190,917.00","$625,443.00","$565,474.00"
5,Saoace,"$10,725,585.00","$2,694,644.00","$8,030,941.00",312%,"$2,604,017.00","$615,041.00","$1,988,976.00",239%,"$768,147.00","$222,963.00","$545,184.00"
6,Donplus,"$7,798,447.00","$3,206,652.00","$4,591,796.00",560%,"$1,180,753.00","$497,981.00","$682,772.00",367%,"$252,838.00","$105,372.00","$147,466.00"
7,Blacklane,"$10,359,369.00","$4,631,808.00","$5,727,561.00",564%,"$1,559,705.00","$771,343.00","$788,362.00",622%,"$216,026.00","$98,255.00","$117,770.00"
8,Toughtam,"$8,501,568.00","$371,849.00","$8,129,720.00",267%,"$2,319,207.00","$117,793.00","$2,201,414.00",30%,"$1,784,005.00","$258,266.00","$1,525,739.00"
9,Zimlane,"$6,329,644.00","$1,716,657.00","$4,612,987.00",323%,"$1,496,864.00","$503,288.00","$993,576.00",199%,"$500,623.00","$111,856.00","$388,768.00"
10,Quotelane,"$9,227,504.00","$3,282,018.00","$5,945,486.00",400%,"$1,844,478.00","$647,674.00","$1,196,804.00",493%,"$311,042.00","$122,126.00","$188,916.00"
11,Ganzzap,"$6,836,807.00","$6,515,505.00","$321,302.00",313%,"$1,656,470.00","$2,400,796.00","-$744,326.00",118%,"$759,849.00","$15,012,814.00","-$14,252,965.00"
12,Yearflex,"$9,567,910.00","$4,374,841.00","$5,193,069.00",451%,"$1,735,446.00","$646,445.00","$1,089,001.00",283%,"$453,119.00","$130,333.00","$322,786.00"
13,Indigoplanet,"$7,805,452.00","$4,626,275.00","$3,179,177.00",488%,"$1,328,154.00","$785,729.00","$542,425.00",352%,"$293,839.00","$136,206.00","$157,633.00"
14,Indigoholding,"$9,812,558.00","$4,684,563.00","$5,127,995.00",439%,"$1,820,544.00","$1,192,543.00","$628,001.00",359%,"$396,633.00","$273,652.00","$122,980.00"
15,Lexinamex,"$13,058,157.00","$4,403,888.00","$8,654,269.00",372%,"$2,765,577.00","$718,235.00","$2,047,342.00",368%,"$590,935.00","$145,540.00","$445,395.00"
16,Treslam,"$3,387,469.00","$4,127,984.00","-$740,514.00",354%,"$746,714.00","$756,530.00","-$9,816.00",279%,"$197,022.00","$250,006.00","-$52,984.00"
17,O-Tindax,"$6,747,855.00","$2,343,975.00","$4,403,879.00",378%,"$1,412,877.00","$762,646.00","$650,231.00",484%,"$241,931.00","$139,799.00","$102,132.00"
18,Doublelane,"$9,526,170.00","$3,633,057.00","$5,893,113.00",393%,"$1,934,156.00","$770,915.00","$1,163,241.00",369%,"$412,400.00","$147,343.00","$265,057.00"
19,Rednimdox,"$7,305,865.00","$3,601,877.00","$3,703,988.00",261%,"$2,026,435.00","$650,984.00","$1,375,451.00",194%,"$689,264.00","$171,742.00","$517,521.00"
20,Lamtone,"$6,757,018.00","$6,482,465.00","$274,552.00",439%,"$1,252,860.00","$1,446,341.00","-$193,481.00",379%,"$261,557.00","$459,341.00","-$197,783.00"
21,Geocom,"$9,442,768.00","$4,380,961.00","$5,061,807.00",563%,"$1,423,331.00","$593,894.00","$829,437.00",514%,"$231,813.00","$134,113.00","$97,700.00"
22,Stripfind,"$10,329,371.00","$2,916,455.00","$7,412,916.00",305%,"$2,550,629.00","$753,450.00","$1,797,179.00",247%,"$735,052.00","$245,291.00","$489,761.00"
23,Canecorporation,"$10,597,009.00","$5,591,189.00","$5,005,820.00",426%,"$2,013,864.00","$1,081,023.00","$932,841.00",347%,"$450,529.00","$350,511.00","$100,017.00"
24,Cankix,"$8,719,723.00","$2,513,917.00","$6,205,806.00",301%,"$2,173,758.00","$674,560.00","$1,499,198.00",423%,"$415,633.00","$103,289.00","$312,343.00"
25,Mattouch,"$9,026,934.00","$7,429,377.00","$1,597,557.00",517%,"$1,463,948.00","$1,425,399.00","$38,549.00",470%,"$256,833.00","$326,466.00","-$69,633.00"
26,Physgreen,"$10,376,897.00","$2,724,847.00","$7,652,049.00",470%,"$1,821,763.00","$539,674.00","$1,282,089.00",280%,"$479,411.00","$209,653.00","$269,758.00"
27,Cantonlux,"$9,922,155.00","$1,888,735.00","$8,033,420.00",419%,"$1,913,577.00","$611,165.00","$1,302,413.00",426%,"$363,798.00","$159,327.00","$204,471.00"
28,Techdrill,"$10,573,990.00","$5,435,363.00","$5,138,627.00",470%,"$1,853,910.00","$1,162,004.00","$691,906.00",396%,"$373,772.00","$439,251.00","-$65,479.00"
29,Techline,"$8,898,119.00","$5,470,303.00","$3,427,816.00",361%,"$1,929,122.00","$1,052,714.00","$876,408.00",375%,"$406,131.00","$209,791.00","$196,340.00"
30,Ganzhouse,"$13,877,423.00","$5,878,552.00","$7,998,871.00",286%,"$3,595,257.00","$3,212,713.00","$382,544.00",176%,"$1,302,629.00","$2,602,738.00","-$1,300,109.00"
31,Cityace,"$9,254,614.00","$4,249,498.00","$5,005,116.00",591%,"$1,339,326.00","$576,382.00","$762,944.00",429%,"$253,181.00","$110,301.00","$142,879.00"
32,Tres-How,"$7,028,880.00","$2,870,973.00","$4,157,907.00",356%,"$1,542,352.00","$669,964.00","$872,388.00",324%,"$363,762.00","$205,639.00","$158,123.00"
33,Domphase,"$7,361,116.00","$4,029,600.00","$3,331,516.00",469%,"$1,293,727.00","$582,756.00","$710,971.00",387%,"$265,652.00","$112,143.00","$153,509.00"
34,Kayelectronics,"$9,451,943.00","$1,878,113.00","$7,573,830.00",339%,"$2,150,996.00","$599,590.00","$1,551,406.00",337%,"$492,219.00","$99,581.00","$392,637.00"
35,Ganzlax,"$9,001,180.00","$5,480,069.00","$3,521,111.00",439%,"$1,671,118.00","$1,175,840.00","$495,278.00",600%,"$238,731.00","$190,748.00","$47,983.00"
36,Trantraxlax,"$11,088,336.00","$4,635,276.00","$6,453,059.00",492%,"$1,873,165.00","$691,999.00","$1,181,166.00",268%,"$509,012.00","$143,100.00","$365,912.00"
37,Silicon-Hex,"$8,442,982.00","$4,760,362.00","$3,682,620.00",391%,"$1,719,257.00","$852,394.00","$866,863.00",389%,"$351,586.00","$151,058.00","$200,529.00"
38,E-Zim,"$8,746,451.00","$4,762,319.00","$3,984,131.00",284%,"$2,275,641.00","$4,002,427.00","-$1,726,786.00",186%,"$795,679.00","$1,305,556.00","-$509,878.00"
