Ben INC 5000 CSV Export (8-26-2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,rank,workers,name,url,state_l,state_s,city,metro,growth,revenue,industry,yrs_on_list,ifc_company,ifc_filelocation,ifc_founded,ifc_business_model,ifc_url,ifc_city,ifc_state,ifc_twitter_handle,state_rank,metro_rank,industry_rank,current_industry_rank,ifi_industry,app_employ_lastyear,app_employ_fouryearsago,app_revenues_lastyear,app_revenues_fouryearsago,city_display_name,industry_id,metro_id,,
22890,1,227,Fuhu,fuhu,California,CA,El Segundo,Los Angeles,158956.9106,195640000,Consumer Products & Services,1,Fuhu,fuhu,2008-00-00,The creator of an Android tablet for kids and an Adobe Air application that allows children to access the Internet in a parent-controlled environment.,http://www.fuhu.com,El Segundo,CA,NabiTablet,1,1,1,1,Consumer Products & Services,227,49,195640000,123000,Los Angeles,4,2,,
25747,2,191,Quest Nutrition,quest-nutrition,California,CA,El Segundo,Los Angeles,57347.9246,82640563,Food & Beverage,0,Quest Nutrition,quest-nutrition,1/1/10,"Develops, markets and distributes health-conscious snacks featuring flavors on par with more indulgent options.",http://www.QuestNutrition.com,El Segundo,CA,,2,2,1,2,Food & Beverage,191,2,82640563,143853,Los Angeles,11,2,,
25643,3,145,Reliant Asset Management,reliant-asset-management,Virginia,VA,Arlington,"Washington, DC",55460.1646,85076502,Business Products & Services,0,Reliant Asset Management,reliant-asset-management,1/1/10,"Builds, acquires, and leases commercial modular office buildings, schools, hospitals, and temporary structures including remote workforce housing.",http://www.RAMModular.com,Arlington,VA,AriesBuildings,1,1,1,3,Business Products & Services,145,4,85076502,153125,"Washington, DC",17,3,,
26098,4,62,Superfish,superfish,California,CA,Palo Alto,San Jose,26042.963,35293000,Software,0,Superfish,superfish,1/1/06,Develops an intuitive visual search engine that analyzes images algorithmically without the need for text tags or human intervention.,http://www.Superfish.com,Palo Alto,CA,SuperfishTeam,3,1,1,4,Software,62,19,35293000,135000,San Jose,9,20,,
26182,5,92,Acacia Communications,acacia-communications,Massachusetts,MA,Maynard,Boston,20690.4578,77652360,Telecommunications,0,Acacia Communications,acacia-communications,1/1/09,Develops high-speed transceivers for optical networking.,http://www.Acacia-Inc.com,Maynard,MA,,1,1,1,5,Telecommunications,92,26,77652360,373500,Boston,14,6,,
22913,6,50,Provider Power,provider-power,Maine,ME,Auburn,"Lewiston-Auburn, ME",19876.5169,137977203,Energy,1,Provider Power,provider-power,2009-00-00,"Supplies electricity to homes and businesses in deregulated markets in Maine, New Hampshire and Massachusetts.",http://www.providerpower.com,Auburn,ME,PowerToHelp,1,0,1,6,Energy,50,6,137977203,690697,,16,151,,
22937,7,129,Crescendo Bioscience,crescendo-bioscience,California,CA,South San Francisco,San Francisco,18375.0693,27308000,Health,1,Crescendo Bioscience,crescendo-bioscience,2002-00-00,A molecular diagnostics company concentrating on autoimmune and inflammatory diseases such as rheumatoid arthritis.,http://www.crescendobio.com,South San Francisco,CA,CrescendoBio,4,1,1,7,Health,129,79,27308000,147810,San Francisco,10,4,,
25413,8,130,Plexus Worldwide,plexus-worldwide,Arizona,AZ,Scottsdale,Phoenix,16457.6529,159897088,Health,0,Plexus Worldwide,plexus-worldwide,1/1/06,Makes weight-loss and other health and wellness supplements.,http://www.PlexusWorldwide.com,Scottsdale,AZ,PlexusSlim,1,1,2,8,Health,130,10,159897088,965699,Phoenix,10,46,,
26079,9,264,Vacasa,vacasa,Oregon,OR,Portland,"Portland, OR",16192.061,26263454,Travel & Hospitality,0,Vacasa,vacasa,1/1/09,"Provides vacation rental software, marketing, and management to connect travelers to more than 900 vacation homes, from beach cottages to ski chalets, in the western US.",http://www.VacasaRentals.com,Portland,OR,vacasarentals,1,1,1,9,Travel & Hospitality,264,2,26263454,161204,"Portland, OR",22,10,,
25861,10,11,Go Energies,go-energies,North Carolina,NC,Wilmington,"Wilmington, NC",16006.8013,32851754,Energy,0,Go Energies,go-energies,1/1/09,"Provides software and hardware that helps its fuel industry customers manage fuel buying, fleet cards, tank sales, and site management.",http://www.GoEnergies.com,Wilmington,NC,,1,0,2,10,Energy,11,10,32851754,203962,,16,192,,
