"","College2000","College1990","College1980","Jobs1990","Jobs1980","Jobs2000","College1970","College1960","LandArea","LFP1960","LFP1970","LFP1980","LFP1990","LFP2000","Mobil1960","Mobil1970","Mobil1980","Mobil1990","Mobil2000","Pop1960","Pop1970","Pop1980","Pop1990","Pop2000","NatAmenity","Jobs1960","Jobs1970","ContigJobsK1960","ContigJobsK1970","ContigJobsK1980","ContigJobsK1990","ContigJobsK2000","Mobil1950","College1950","Pop1950","LFP1950"
"1",0.18,0.145,0.121,11471,11278,16289,0.063557,0.04396,599,0.502,0.566365,0.605,0.661,0.651,0.488,0.535,0.473,0.443,0.449,18739,24460,32259,34222,43671,4,4911,6853,21.67713,22.65133,27.652,32.55667,38.40267,0.190929,0.028852,18186,0.509641
"2",0.231,0.168,0.121,40809,27861,70247,0.064649,0.050063,1578,0.521,0.539706,0.562,0.601,0.598,0.474,0.438,0.427,0.432,0.468,49088,59382,78556,98280,140415,4,15577,19749,32.24768,31.3664,41.983,46.0588,54.1814,0.215782,0.03427,40997,0.507535
"3",0.109,0.118,0.092,12163,9755,15197,0.072941,0.045645,891,0.505,0.539574,0.53,0.594,0.48,0.459,0.398,0.349,0.392,0.395,24700,22543,24756,25417,29038,4,9158,9448,10.40317,12.2824,11.1552,12.249,12.2364,0.218871,0.023323,28892,0.559565
"4",0.071,0.047,0.049,5564,4276,6098,0.041863,0.032528,625,0.494,0.510242,0.525,0.585,0.529,0.469,0.397,0.369,0.375,0.357,14357,13812,15723,16576,20826,3,4108,3965,57.57091,62.93667,76.72433,91.67717,109.92483,0.196791,0.016929,17987,0.433244
"5",0.096,0.07,0.053,11811,9490,16503,0.026672,0.024412,639,0.478,0.508535,0.551,0.608,0.606,0.501,0.45,0.398,0.359,0.406,25449,26853,36459,39248,51024,4,6710,7587,60.65395,66.805,81.69067,95.233,110.588,0.252402,0.019465,28975,0.479702
"6",0.077,0.1,0.088,4105,4092,4557,0.053933,0.051411,615,0.475,0.493439,0.481,0.513,0.416,0.354,0.364,0.283,0.327,0.406,13462,11824,10596,11042,11714,3,4801,4280,24.9907,26.2144,32.1818,38.7482,44.9274,0.132763,0.027517,16034,0.573033
"7",0.104,0.08,0.082,8500,8932,9471,0.045646,0.035076,773,0.514,0.535441,0.531,0.546,0.545,0.434,0.321,0.347,0.339,0.378,24560,22007,21680,21892,21399,3,8700,8632,7.82863,7.228,7.80433,8.61183,8.5755,0.199685,0.02407,29228,0.526936
"8",0.152,0.142,0.11,61723,57562,61517,0.075284,0.052254,611,0.555,0.576553,0.607,0.619,0.578,0.55,0.48,0.461,0.449,0.429,95878,103092,119761,116034,112249,4,40937,46650,13.6157,14.8088,17.8796,19.7878,23.286,0.224005,0.029116,79539,0.513997
"9",0.095,0.089,0.074,16729,16158,16562,0.041918,0.033333,597,0.601,0.60781,0.6,0.617,0.586,0.405,0.367,0.348,0.351,0.364,37828,36356,39191,36876,36583,3,16706,16255,14.48326,16.20833,20.06733,24.028,28.03433,0.182122,0.026214,39528,0.589193
"10",0.097,0.067,0.063,6818,6069,7964,0.037501,0.032736,556,0.481,0.541485,0.57,0.588,0.55,0.49,0.399,0.339,0.36,0.366,16303,15606,18760,19543,23988,4,4116,4496,22.66444,24.97925,30.807,34.27325,38.1715,0.263676,0.019119,17634,0.46326
